"Yr","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annl"
"1999","0.42","0.34","0.14","1.92","0.17","M1.30","4.19","2.01","0.59","0.01","0.06","0.41","11.56"
"2000","0.99","0.59","M1.14","0.19","0.44","0.42","0.72","M1.13","M0.16","1.70","M0.46","0.57","8.51"
"2001","1.04","0.98","0.39","0.76","1.06","0.27","2.25","2.34","0.17","0.22","M0.36","0.73","10.57"
"2002","M0.40","M0.10","M0.20","0.34","M0.11","0.06","M0.39","0.55","2.11","0.61","M0.41","0.28","5.56"
"2003","0.25","1.26","0.85","M0.15","0.92","0.07","M0.69","1.06","0.38","0.21","0.82","1.04","7.70"
"2004","0.44","0.75","0.02","2.02","0.26","0.34","0.08","0.24","1.20","0.66","1.77","0.68","8.46"
"2005","1.58","1.00","1.71","0.10","0.26","M1.00","0.01","1.19","1.03","0.67","0.63","0.38","9.56"
"2006","0.58","0.07","1.74","0.12","0.03","0.35","1.29","0.65","1.41","4.66","0.47","0.34","11.71"
"2007","0.81","M0.32","0.29","2.38","0.53","0.02","1.81","0.94","M1.42","0.09","0.12","1.87","10.60"
"2008","0.44","1.06","0.23","0.76","0.57","1.18","0.45","0.52","0.13","0.41","1.01","0.99","7.75"
"2009","0.16","0.17","0.22","0.80","1.68","0.43","0.03","0.34","0.21","0.79","0.41","1.79","7.03"
"2010","0.84","1.58","1.63","0.39","0.32","0.49","0.28","1.38","0.94","1.43","0.62","1.57","11.47"
"2011","T","0.17","0.09","1.12","1.47","0.38","2.38","0.34","1.00","0.93","0.72","0.44","9.04"
"2012","0.30","0.45","M0.26","0.37","0.00","0.00","0.92","0.66","0.23","0.69","0.26","1.00","5.14"
"2013","0.79","0.27","0.11","0.85","0.80","MT","1.03","0.81","2.67","0.97","1.29","0.66","10.25"
"2014","0.36","0.40","0.38","0.74","2.22","0.02","0.84","2.32","2.73","0.17","0.31","1.22","11.71"
"2015","1.10","0.26","0.34","1.82","1.63","1.29","1.60","0.61","0.42","2.10","1.23","0.75","13.15"
"2016","0.53","0.66","0.78","0.85","0.78","0.11","0.81","1.25","0.63","0.63","0.84","0.74","8.61"
"2017","0.63","0.47","0.30","0.16","0.63","T","1.75","0.41","1.57","0.25","0.03","0.97","7.17"
"2018","0.34","1.17","0.73","0.35","0.54","T","0.27","0.79","0.05","2.90","0.03","0.57","7.74"
"2019","0.65","1.80","2.50","0.96","1.11","0.30","0.09","0.09","0.18","0.00","1.68","1.03","10.39"
"2020","0.48","0.24","1.05","0.03","0.14","0.90","0.37","0.16","0.17","0.73","0.15","0.45","4.87"
"2021","0.40","0.46","0.91","0.73","0.38","0.43","2.07","1.89","1.18","1.90","0.03","1.80","12.18"
"2022","0.11","0.49","0.87","0.53","0.28","0.18","0.74","1.74","0.78","1.74","1.05","1.36","9.87"
"2023","2.03","0.47","2.26","0.54","0.23","0.10","T","0.99","0.03","0.53","0.43","0.56","8.17"
"2024","0.45","0.76","0.44","0.26","0.33","1.91","0.01","2.28","0.02"," "," "," ","6.46"
