,Year,SBT,GFS,GFE,GFN,CTN,CTS,LCM,temp,rainfall,rainfall_lag1,avg_ring_width,scaled_temp,scaled_rainfall,scaled_rainfall_lag1
69,1950,1.0,0.901,0.947,0.931,0.956,0.899,0.864,63.8,7.38,10.63,0.9282857142857142,-0.34186401274658024,-1.0494033050247866,-0.5919201999043032
70,1951,0.877,0.957,0.95,1.041,1.052,0.858,1.158,63.6,14.33,7.38,0.9847142857142855,-0.44469179660301367,-0.03945239359788519,-1.0645837501964377
71,1952,0.816,0.898,0.66,1.146,1.099,1.062,1.121,63.6,24.95,14.33,0.9717142857142856,-0.44469179660301367,1.5038107257335813,-0.05381092726402723
72,1953,0.884,1.029,0.979,1.112,0.96,0.938,1.065,64.6,4.08,24.95,0.9952857142857141,0.06944712267916085,-1.528948342105186,1.4907081201521164
73,1954,0.772,0.945,0.863,0.905,0.945,0.798,1.225,64.9,13.69,4.08,0.921857142857143,0.22368879846382014,-0.1324550674559021,-1.5445190474161432
74,1955,0.799,0.804,0.808,0.806,0.724,0.712,1.009,63.7,11.89,13.69,0.8088571428571429,-0.3932779046747951,-0.39402508768157424,-0.14688928793693992
75,1956,0.914,0.897,0.945,0.875,0.86,0.894,0.976,64.7,13.62,11.89,0.9087142857142857,0.12086101460738305,-0.14262723490912274,-0.4086721773295065
76,1957,0.899,0.93,0.936,0.968,0.993,0.968,1.042,65.7,13.24,13.62,0.9622857142857143,0.6349999338895612,-0.19784757251232007,-0.15706973363553978
77,1958,1.288,1.155,1.145,1.241,1.269,1.166,1.216,67.0,17.49,13.24,1.2114285714285715,1.3033805289563913,0.41974830857607265,-0.2123350102850815
78,1959,0.782,0.842,0.864,0.84,0.776,0.845,0.849,67.4,6.23,17.49,0.8282857142857143,1.5090360966692657,-1.2165174846134106,0.40576347855847855
79,1960,0.635,0.763,0.75,0.881,0.706,0.71,0.755,65.7,9.57,6.23,0.7428571428571429,0.6349999338895612,-0.7311597804168853,-1.2318339295305774
80,1961,0.743,0.691,0.751,0.803,0.716,0.701,0.566,65.3,5.83,9.57,0.7101428571428571,0.42934436617668703,-1.274644155774671,-0.7460812347688147
81,1962,1.11,0.962,1.073,0.904,1.047,1.018,0.918,63.3,15.37,5.83,1.0045714285714287,-0.5989334723876694,0.11167695142139203,-1.290007904951148
82,1963,1.045,1.0,1.113,1.011,1.091,1.102,1.126,65.1,12.31,15.37,1.0697142857142856,0.32651658232024994,-0.33299208296225075,0.09744140882945564
83,1964,0.934,0.859,0.834,0.91,0.879,0.881,0.85,63.6,7.98,12.31,0.8781428571428572,-0.44469179660301367,-0.9622132982828958,-0.3475895031379076
84,1965,0.998,0.903,0.776,0.764,0.891,0.85,0.986,64.3,26.81,7.98,0.881142857142857,-0.08479455310549115,1.7740997466334427,-0.977322787065582
85,1966,0.727,0.813,0.816,0.844,0.718,0.838,1.08,66.0,12.91,26.81,0.8337142857142856,0.7892416096742132,-0.24580207622036002,1.7612171058577686
86,1967,1.31,1.299,1.1,1.368,1.324,1.113,0.84,66.4,23.66,12.91,1.1934285714285713,0.9948971773870875,1.3163522112385164,-0.2603285400070521
87,1968,1.156,1.188,0.999,1.195,1.222,1.009,0.832,66.2,7.58,23.66,1.0858571428571429,0.8920693935306504,-1.0203399694441564,1.303097049420777
88,1969,1.711,1.436,1.366,1.561,1.583,1.492,1.185,65.4,26.32,7.58,1.4762857142857144,0.48075825810490924,1.7028945744608988,-1.0354967624861524
89,1970,1.375,1.14,1.021,1.252,1.024,1.13,0.926,66.1,16.54,26.32,1.1239999999999999,0.8406555016024282,0.28169746456807904,1.68995398596757
90,1971,1.025,0.876,0.906,0.998,0.89,0.891,0.981,65.1,9.26,16.54,0.9381428571428571,0.32651658232024994,-0.7762079505668623,0.267600286934624
91,1972,0.835,0.745,0.853,0.749,0.692,0.748,1.136,66.5,6.54,9.26,0.8225714285714286,1.0463110693153024,-1.1714693144634336,-0.7911660657197569
92,1973,1.272,1.202,1.262,1.21,1.274,1.203,1.052,65.0,17.45,6.54,1.2107142857142856,0.27510269039203505,0.4139356414599467,-1.1867490985796354
93,1974,1.129,1.096,1.183,0.999,1.084,1.108,1.056,65.3,16.69,17.45,1.0935714285714286,0.42934436617668703,0.30349496625355205,0.39994608101642165
94,1975,1.094,1.035,1.046,1.031,1.079,1.084,1.005,63.1,10.7,16.69,1.0534285714285714,-0.7017612562441028,-0.5669519343863245,0.2894155277173382
95,1976,0.861,0.811,0.723,0.804,0.741,0.813,0.718,65.2,11.01,10.7,0.7815714285714286,0.37793047424847215,-0.5219037642363475,-0.5817397542057036
96,1977,1.166,1.102,0.928,1.104,0.947,1.061,0.829,65.9,14.97,11.01,1.0195714285714286,0.7378277177459983,0.05355028026013172,-0.5366549232547615
97,1978,1.497,1.407,1.339,1.309,1.263,1.381,0.994,65.6,30.57,14.97,1.3128571428571427,0.583586041961339,2.320490455549292,0.039267433408885465
98,1979,0.951,0.958,0.996,0.798,0.87,1.018,1.25,65.4,17.0,30.57,0.9772857142857142,0.48075825810490924,0.34854313640352874,2.3080524748111304
99,1980,1.777,1.372,1.323,1.179,1.263,1.211,1.355,67.7,26.33,17.0,1.3542857142857143,1.6632777724539176,1.70434774123993,0.33450035866828004
100,1981,1.062,1.067,0.968,0.986,1.013,1.043,1.343,68.9,10.92,26.33,1.068857142857143,2.280244475592533,-0.5349822652476312,1.691408335353084
101,1982,1.504,1.256,1.137,0.89,1.085,1.153,1.229,65.5,14.41,10.92,1.1791428571428573,0.5321721500331241,-0.027827059365633077,-0.5497440677243898
102,1983,1.536,1.238,1.435,1.439,1.342,1.488,1.49,68.9,34.04,14.41,1.424,2.280244475592533,2.8247393278732265,-0.042176132179913145
103,1984,1.118,1.005,1.06,0.962,1.025,1.273,1.608,68.5,8.9,34.04,1.1501428571428571,2.074588907879659,-0.8285219546119966,2.8127117115845786
104,1985,1.33,1.159,1.147,1.102,1.138,1.161,1.181,67.0,8.92,8.9,1.174,1.3033805289563913,-0.8256156210539337,-0.8435226435982701
105,1986,1.519,1.451,1.489,1.34,1.466,1.478,1.505,67.7,18.0,8.92,1.4640000000000002,1.6632777724539176,0.49385981430668,-0.8406139448272417
106,1987,0.955,0.899,0.839,0.817,0.944,0.957,0.968,66.0,9.11,18.0,0.9112857142857143,0.7892416096742132,-0.798005452252335,0.479935297219706
107,1988,1.235,1.009,0.963,0.816,0.911,0.957,0.849,66.1,11.63,9.11,0.9628571428571427,0.8406555016024282,-0.43180742393639354,-0.8129813065024708
108,1989,0.827,0.844,0.694,0.688,0.841,0.785,0.753,66.7,4.56,11.63,0.776,1.1491388531717395,-1.4591963367116731,-0.4464852613528772
109,1990,1.078,0.971,1.019,1.095,0.945,0.95,0.474,67.5,6.49,4.56,0.9331428571428572,1.5604499885974805,-1.1787351483585913,-1.4747102769114588
110,1991,0.88,1.022,0.976,0.931,1.017,0.937,0.673,65.8,15.07,6.49,0.9194285714285716,0.6864138258177761,0.0680819480504468,-1.1940208455072068
111,1992,0.736,0.821,0.598,0.669,0.77,0.745,0.741,68.0,22.65,15.07,0.7257142857142856,1.8175194482385697,1.1695823665563334,0.05381092726402801
112,1993,1.264,1.25,1.324,1.236,1.081,1.265,0.988,67.2,23.5,22.65,1.201142857142857,1.4062083128128287,1.2931015427740122,1.1562077614838364
113,1994,0.934,0.801,0.93,0.916,0.866,0.844,0.684,67.6,8.66,23.5,0.8535714285714286,1.6118638805256955,-0.863397957308753,1.2798274592525487
114,1995,1.301,1.086,1.187,1.042,1.032,1.025,0.874,67.8,23.65,8.66,1.078142857142857,1.7146916643821326,1.3148990444594846,-0.8784270288506124
115,1996,1.14,1.137,1.183,0.986,1.038,1.192,1.303,67.6,17.75,23.65,1.139857142857143,1.6118638805256955,0.45753064483089223,1.3016427000352624
116,1997,1.115,1.05,1.091,0.908,0.911,1.061,1.123,68.3,10.69,17.75,1.0370000000000001,1.9717611240232216,-0.5684051011653559,0.4435765625818495
117,1998,1.514,1.244,1.489,1.342,1.323,1.217,1.031,66.1,27.85,10.69,1.308571428571429,0.8406555016024282,1.9252290916527204,-0.5831941035912178
118,1999,0.99,1.014,1.009,1.011,0.874,0.898,1.076,64.2,8.06,27.85,0.9817142857142857,-0.13620844503370605,-0.9505879640506437,1.912469441951252
119,2000,0.937,1.045,1.006,0.957,0.86,0.924,1.076,65.1,11.93,8.06,0.9721428571428571,0.32651658232024994,-0.38821242056544836,-0.9656879919814679
120,2001,1.061,0.92,0.994,1.082,0.954,0.968,0.979,64.1,19.6,11.93,0.9939999999999999,-0.18762233696192826,0.7263664989517223,-0.4028547797874496
121,2002,0.827,0.909,0.941,0.979,0.911,0.795,0.611,64.4,7.35,19.6,0.8532857142857143,-0.03338066117726894,-1.0537628053618813,0.7126311989019878
122,2003,0.874,0.678,0.9,0.683,0.773,0.809,0.731,65.5,13.37,7.35,0.7782857142857142,0.5321721500331241,-0.17895640438491056,-1.0689467983529806
123,2004,0.691,0.609,0.601,0.527,0.58,0.647,0.871,65.4,20.1,13.37,0.6465714285714286,0.48075825810490924,0.7990248379032979,-0.19342846827339627
124,2005,1.592,1.195,1.446,1.164,1.211,1.34,1.196,65.1,26.61,20.1,1.3062857142857143,0.32651658232024994,1.7450364110528125,0.7853486681777008
125,2006,1.394,1.402,1.507,1.312,1.178,1.391,1.426,66.8,11.61,26.61,1.372857142857143,1.2005527450999542,-0.4347137574944568,1.7321301181474835
126,2007,0.496,0.786,0.682,0.642,0.697,0.735,0.489,65.6,5.66,11.61,0.6467142857142857,0.583586041961339,-1.2993479910182069,-0.4493939601239059
127,2008,0.869,0.992,0.998,0.86,0.844,0.92,1.071,66.4,14.43,5.66,0.9362857142857142,0.9948971773870875,-0.024920725807570113,-1.3147318445048903
128,2009,0.982,0.97,0.984,0.862,0.783,0.943,0.943,66.2,9.39,14.43,0.9238571428571428,0.8920693935306504,-0.7573167824394524,-0.03926743340888469
129,2010,1.174,1.061,1.266,1.168,0.905,1.091,1.134,65.7,23.09,9.39,1.114142857142857,0.6349999338895612,1.2335217048337201,-0.7722595237080714
130,2011,1.283,1.05,1.247,1.091,0.999,1.144,1.64,64.0,12.26,23.09,1.2077142857142857,-0.23903622889014314,-0.3402579168574084,1.2201991344464642
131,2012,0.692,0.805,0.905,0.876,0.678,0.806,0.988,65.5,8.15,12.26,0.8214285714285714,0.5321721500331241,-0.9375094630393601,-0.35486125006547903
132,2013,0.66,0.784,0.705,0.793,0.605,0.795,0.684,65.7,3.6,8.15,0.7180000000000001,0.6349999338895612,-1.5987003474986985,-0.9525988475118397
133,2014,0.78,0.841,0.878,0.867,0.687,0.966,0.685,68.1,9.77,3.6,0.814857142857143,1.8689333401667845,-0.7020964448362551,-1.6143278179208278
134,2015,0.761,0.807,0.569,0.781,0.65,0.841,1.019,68.3,7.66,9.77,0.7754285714285715,1.9717611240232216,-1.0087146352119043,-0.7169942470585297
