,Year,PMN,MWL,MPS,KSU,LCU,FCU,PT9,PT2,LGU,RRT,HLC,BIG,LPK,rainfall,temp,avg_ring_width,rainfall_lag1,scaled_temp,scaled_rainfall,scaled_rainfall_lag1
48,1991,0.743,0.711,1.039,1.149,0.795,0.916,0.811,1.059,0.771,0.616,0.497,0.721,0.997,4.58,55.8,0.8326923076923076,3.36,-0.38525874190038767,-0.1996146227471203,-0.6373449262068986
49,1992,1.463,1.41,1.578,1.037,1.247,0.947,1.31,1.255,0.876,0.978,1.115,0.993,1.256,4.98,56.8,1.1896153846153845,4.58,0.6234186914387945,-0.059089051123627896,-0.20758843339954489
50,1993,1.874,1.535,1.842,1.271,1.49,1.199,1.674,1.468,0.877,1.129,1.966,1.239,1.285,5.86,55.0,1.4499230769230769,4.98,-1.1922006885717304,0.2500672064480551,-0.06668466526598617
51,1994,1.48,0.999,1.36,1.471,1.549,0.971,1.353,1.181,1.139,1.103,1.178,0.969,0.873,4.33,56.0,1.2019999999999997,5.86,-0.18352325523254837,-0.287443105011803,0.24330362462784266
52,1995,2.352,1.592,1.953,2.325,2.522,1.182,1.895,1.971,1.872,1.646,2.173,1.477,1.117,8.27,56.1,1.8520769230769234,4.33,-0.0826555118986287,1.0967337754795958,-0.29565328848301897
53,1996,0.932,1.172,1.067,0.8,0.785,0.962,1.098,1.337,1.103,1.11,0.491,1.004,1.044,3.98,57.2,0.9926923076923077,8.27,1.0268896647744732,-0.41040298018235877,1.0922488276325328
54,1997,1.155,0.897,0.901,1.034,1.277,1.171,1.077,1.6,1.021,0.721,0.418,0.783,0.799,3.94,56.1,0.9887692307692306,3.98,-0.0826555118986287,-0.424455537344708,-0.4189440855998828
55,1998,2.037,1.575,1.572,2.479,2.194,1.437,1.941,2.061,1.216,1.123,1.716,1.894,1.004,9.28,53.8,1.7114615384615386,3.94,-2.402613608578752,1.4515608438289138,-0.4330344624132387
56,1999,1.74,0.879,1.069,1.008,0.923,1.159,0.815,1.018,1.402,1.139,1.411,0.925,0.756,2.4,56.3,1.0956923076923077,9.28,0.11907997476920343,-0.9654789880951533,1.448030842169768
57,2000,1.219,0.635,0.672,0.708,0.712,0.404,0.779,0.795,0.911,0.667,1.48,0.711,1.04,2.59,56.7,0.8256153846153846,2.4,0.522550948104882,-0.8987293415739944,-0.9755139697274392
58,2001,1.066,0.885,0.745,0.475,0.289,0.42,0.385,0.471,0.967,0.651,1.458,0.612,0.934,5.05,56.8,0.7198461538461538,2.59,0.6234186914387945,-0.03449707608951696,-0.9085846798639989
59,2002,-0.018,-0.085,0.127,-0.006,-0.01,0.054,-0.043,-0.051,0.197,0.348,-0.013,-0.03,0.139,2.68,56.7,0.046846153846153836,5.05,0.522550948104882,-0.8671110879587086,-0.04202650584261364
60,2003,1.244,1.515,1.347,1.127,0.814,1.063,0.557,0.407,0.804,1.094,1.179,0.856,1.072,2.46,57.3,1.006076923076923,2.68,1.1277574081083857,-0.9444001523516294,-0.8768813320339481
61,2004,0.303,0.999,0.955,0.658,0.272,0.556,0.266,0.097,0.427,0.639,0.407,0.578,0.915,5.86,56.3,0.544,2.46,0.11907997476920343,0.2500672064480551,-0.9543784045074054
62,2005,1.255,1.578,1.583,1.94,1.231,1.231,0.864,0.457,0.688,1.127,1.366,1.258,1.047,9.49,56.6,1.2019230769230769,5.86,0.4216832047709624,1.5253367689312474,0.24330362462784266
63,2006,1.637,1.511,1.264,1.455,0.892,1.442,1.067,0.641,0.959,1.154,1.676,1.54,1.266,5.34,55.8,1.2695384615384613,9.49,-0.38525874190038767,0.06738396333751495,1.5220053204398867
64,2007,-0.018,-0.085,0.129,-0.006,-0.01,0.452,0.042,-0.051,0.607,0.272,-0.013,-0.03,0.518,1.86,57.2,0.139,5.34,1.0268896647744732,-1.1551885097868677,0.06012872605421635
65,2008,1.232,1.716,0.95,1.494,1.389,1.112,1.216,0.673,1.074,0.753,1.041,1.284,1.289,7.75,56.1,1.171,1.86,-0.0826555118986287,0.914050532369056,-1.1657340567077432
66,2009,0.687,0.96,0.721,1.124,0.831,1.057,0.81,0.56,1.237,0.77,1.099,1.178,0.896,4.7,56.4,0.9176923076923077,7.75,0.21994771810312308,-0.1574569512600726,0.9090739290589068
67,2010,1.344,1.505,1.1,1.796,1.327,1.242,1.211,0.762,1.662,1.325,1.299,1.475,1.241,9.14,55.5,1.3299230769230768,4.7,-0.6878619719021395,1.4023768937606917,-0.16531730295947727
68,2011,1.739,2.207,1.796,2.264,1.99,1.771,1.836,1.471,2.652,1.859,1.945,1.956,1.272,3.19,55.3,1.9044615384615384,9.14,-0.8895974585699787,-0.687940984138756,1.3987145233230232
69,2012,0.719,1.792,1.415,1.136,0.702,1.605,0.958,0.974,2.376,1.283,0.735,0.804,1.126,3.48,56.8,1.2019230769230769,3.19,0.6234186914387945,-0.5860599447117241,-0.697229027663661
70,2013,0.2,0.703,0.748,0.357,0.203,0.857,0.395,0.567,0.942,0.678,-0.013,-0.029,0.95,1.33,57.6,0.5044615384615385,3.48,1.4303606381101446,-1.3413848921879952,-0.595073795766831
71,2014,-0.018,0.604,0.785,0.242,0.127,0.775,0.499,0.639,0.726,0.376,0.262,0.727,1.074,3.23,59.6,0.5244615384615384,1.33,3.447715504788509,-0.6738884269764067,-1.3524315494847083
72,2015,-0.018,0.613,0.56,0.186,0.28,0.882,0.329,0.502,0.381,0.712,0.205,0.651,1.069,3.37,59.1,0.48861538461538456,3.23,2.943376788118918,-0.6247044769081844,-0.6831386508503051
